DATE,PCPI26161
2000-01-01,36369
2001-01-01,37402
2002-01-01,38290
2003-01-01,39623
2004-01-01,39707
2005-01-01,40147
2006-01-01,41407
2007-01-01,42470
2008-01-01,44419
2009-01-01,41409
2010-01-01,45392
2011-01-01,45064
2012-01-01,47798
2013-01-01,47718
2014-01-01,49607
2015-01-01,52348
2016-01-01,54377
2017-01-01,56729
2018-01-01,59363
