DATE,A792RC0A052NBEA
2000-01-01,30640.0
2001-01-01,31574.0
2002-01-01,31807.0
2003-01-01,32645.0
2004-01-01,34219.0
2005-01-01,35806.0
2006-01-01,38089.0
2007-01-01,39801.0
2008-01-01,40855.0
2009-01-01,39250.0
2010-01-01,40518.0
2011-01-01,42713.0
2012-01-01,44588.0
2013-01-01,44826.0
2014-01-01,47050.0
2015-01-01,48998.0
2016-01-01,50004.0
2017-01-01,52114.0
2018-01-01,54601.0
