DATE,CIVPART
2000-01-01,67.0666666666666667
2001-01-01,66.8333333333333333
2002-01-01,66.5833333333333333
2003-01-01,66.2416666666666667
2004-01-01,65.9833333333333333
2005-01-01,66.0333333333333333
2006-01-01,66.1666666666666667
2007-01-01,66.0333333333333333
2008-01-01,66.0250000000000000
2009-01-01,65.4000000000000000
2010-01-01,64.7083333333333333
2011-01-01,64.1083333333333333
2012-01-01,63.7000000000000000
2013-01-01,63.2583333333333333
2014-01-01,62.8833333333333333
2015-01-01,62.6583333333333333
2016-01-01,62.7750000000000000
2017-01-01,62.8333333333333333
2018-01-01,62.8833333333333333
