DATE,MIPCPI
2000-01-01,30409.0
2001-01-01,30796.0
2002-01-01,30671.0
2003-01-01,31327.0
2004-01-01,32165.0
2005-01-01,32877.0
2006-01-01,33729.0
2007-01-01,34792.0
2008-01-01,35700.0
2009-01-01,34030.0
2010-01-01,35391.0
2011-01-01,37509.0
2012-01-01,39059.0
2013-01-01,39362.0
2014-01-01,41150.0
2015-01-01,43477.0
2016-01-01,44637.0
2017-01-01,45948.0
2018-01-01,47777.0
