DATE,LBSSA26
2000-01-01,68.6833333333333333
2001-01-01,67.6083333333333333
2002-01-01,65.8583333333333333
2003-01-01,65.5666666666666667
2004-01-01,65.6500000000000000
2005-01-01,65.7083333333333333
2006-01-01,65.3583333333333333
2007-01-01,64.4500000000000000
2008-01-01,63.3333333333333333
2009-01-01,63.1166666666666667
2010-01-01,61.9916666666666667
2011-01-01,60.4250000000000000
2012-01-01,59.9916666666666667
2013-01-01,60.3666666666666667
2014-01-01,60.5666666666666667
2015-01-01,60.3666666666666667
2016-01-01,61.2500000000000000
2017-01-01,61.4250000000000000
2018-01-01,61.5583333333333333
