DATE,MIWASH1POP
2000-01-01,324.537
2001-01-01,329.203
2002-01-01,333.549
2003-01-01,337.110
2004-01-01,340.480
2005-01-01,343.615
2006-01-01,345.657
2007-01-01,347.341
2008-01-01,344.207
2009-01-01,346.519
2010-01-01,345.717
2011-01-01,349.753
2012-01-01,352.303
2013-01-01,356.04
2014-01-01,360.021
2015-01-01,362.975
2016-01-01,366.135
2017-01-01,368.807
2018-01-01,369.483
